Data,Categoria,Tipo,Valor
2026-09-01,Lazer,Despesa,229.0
2026-08-31,Lazer,Despesa,52.39
2026-08-31,Alimentação,Despesa,142.06
2026-08-31,Saúde,Despesa,131.62
2026-08-30,Saúde,Despesa,85.95
2026-08-30,Moradia,Despesa,238.48
2026-08-30,Transporte,Despesa,181.66
2026-08-29,Transporte,Despesa,172.68
2026-08-29,Transporte,Despesa,34.74
2026-08-28,Lazer,Despesa,225.68
2026-08-27,Transporte,Despesa,102.35
2026-08-27,Lazer,Despesa,228.19
2026-08-27,Lazer,Despesa,125.69
2026-08-26,Lazer,Despesa,37.08
2026-08-26,Moradia,Despesa,217.29
2026-08-25,Moradia,Despesa,53.65
2026-08-25,Transporte,Despesa,36.62
2026-08-24,Saúde,Despesa,132.8
2026-08-24,Saúde,Despesa,218.25
2026-08-23,Moradia,Despesa,27.21
2026-08-23,Moradia,Despesa,73.74
2026-08-22,Transporte,Despesa,159.81
2026-08-21,Transporte,Despesa,163.07
2026-08-20,Alimentação,Despesa,216.95
2026-08-20,Saúde,Despesa,25.81
2026-08-20,Saúde,Despesa,130.24
2026-08-19,Alimentação,Despesa,150.22
2026-08-19,Moradia,Despesa,127.83
2026-08-18,Saúde,Despesa,220.67
2026-08-17,Lazer,Despesa,190.2
2026-08-17,Transporte,Despesa,50.74
2026-08-17,Alimentação,Despesa,169.66
2026-08-16,Lazer,Despesa,238.63
2026-08-16,Transporte,Despesa,161.17
2026-08-15,Moradia,Despesa,239.9
2026-08-14,Moradia,Despesa,22.72
2026-08-14,Alimentação,Despesa,74.24
2026-08-14,Transporte,Despesa,241.59
2026-08-13,Saúde,Despesa,52.47
2026-08-12,Saúde,Despesa,243.38
2026-08-12,Lazer,Despesa,249.87
2026-08-12,Alimentação,Despesa,181.83
2026-08-11,Moradia,Despesa,31.56
2026-08-11,Moradia,Despesa,21.12
2026-08-11,Transporte,Despesa,125.65
2026-08-10,Alimentação,Despesa,65.95
2026-08-10,Alimentação,Despesa,85.64
2026-08-10,Transporte,Despesa,237.08
2026-08-09,Moradia,Despesa,120.65
2026-08-09,Lazer,Despesa,17.49
2026-08-09,Alimentação,Despesa,176.81
2026-08-08,Lazer,Despesa,83.28
2026-08-07,Moradia,Despesa,160.9
2026-08-07,Saúde,Despesa,88.84
2026-08-07,Lazer,Despesa,226.99
2026-08-07,Salário,Receita,3500.0
2026-08-06,Transporte,Despesa,110.65
2026-08-06,Alimentação,Despesa,246.37
2026-08-05,Transporte,Despesa,62.29
2026-08-05,Moradia,Despesa,146.58
2026-08-04,Saúde,Despesa,68.15
2026-08-03,Saúde,Despesa,185.43
2026-08-03,Lazer,Despesa,126.69
